CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
30075445,MORRIS PARK BAKE SHOP,BRONX,1007,MORRIS PARK AVE,10462,7188924968,Bakery,2/9/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,6,A,2/9/2015,10/1/2015,Cycle Inspection / Initial Inspection
30112340,WENDY'S,BROOKLYN,469,FLATBUSH AVENUE                                   ,11225,7182875005,Hamburgers,5/7/2015,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,12,A,5/7/2015,10/1/2015,Cycle Inspection / Initial Inspection
30191841,DJ REYNOLDS PUB AND RESTAURANT,MANHATTAN,351,WEST   57 STREET                                  ,10019,2122452912,Irish,9/21/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,8,A,9/21/2015,10/1/2015,Cycle Inspection / Re-inspection
40356018,RIVIERA CATERER,BROOKLYN,2780,STILLWELL AVENUE,11224,7183723031,American ,6/5/2015,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,4,A,6/5/2015,10/1/2015,Cycle Inspection / Initial Inspection
40356151,BRUNOS ON THE BOULEVARD,QUEENS,8825,ASTORIA BOULEVARD,11369,7183350505,American ,5/29/2015,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,22,Z,5/29/2015,10/1/2015,Cycle Inspection / Re-inspection
40356442,KOSHER ISLAND,STATEN ISLAND,2206,VICTORY BOULEVARD                                 ,10314,7186985800,Jewish/Kosher,10/6/2014,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,9,A,10/6/2014,10/1/2015,Cycle Inspection / Initial Inspection
40356483,WILKEN'S FINE FOOD,BROOKLYN,7114,AVENUE U,11234,7184443838,Delicatessen,5/8/2015,Violations were cited in the following area(s).,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,9,A,5/8/2015,10/1/2015,Cycle Inspection / Initial Inspection
40356649,REGINA CATERERS,BROOKLYN,6409,11 AVENUE                                         ,11219,7182560829,American ,7/21/2015,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,23,Z,7/21/2015,10/1/2015,Cycle Inspection / Re-inspection
40356731,TASTE THE TROPICS ICE CREAM,BROOKLYN,1839,NOSTRAND AVENUE,11226,7188560821,"Ice Cream, Gelato, Yogurt, Ices",6/26/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,5,A,6/26/2015,10/1/2015,Cycle Inspection / Initial Inspection
40357217,WILD ASIA,BRONX,2300,SOUTHERN BOULEVARD,10460,7182207846,American ,5/6/2015,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,9,A,5/6/2015,10/1/2015,Cycle Inspection / Initial Inspection
40358429,MAY MAY KITCHEN,BROOKLYN,1269,SUTTER AVENUE                                     ,11208,7182354485,Chinese,7/8/2015,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,24,Z,7/8/2015,10/1/2015,Cycle Inspection / Re-inspection
40359480,1 EAST 66TH STREET KITCHEN,MANHATTAN,1,EAST   66 STREET                                  ,10065,2128793900,American ,6/9/2015,No violations were recorded at the time of this inspection.,,,Not Applicable,0,A,6/9/2015,10/1/2015,Cycle Inspection / Initial Inspection
40359705,NATHAN'S FAMOUS,BROOKLYN,1310,SURF AVENUE,11224,7183332202,Hotdogs,9/8/2015,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,11,A,9/8/2015,10/1/2015,Cycle Inspection / Re-inspection
40360045,SEUDA FOODS,BROOKLYN,705,KINGS HIGHWAY,11223,7183751500,Jewish/Kosher,8/12/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13,A,8/12/2015,10/1/2015,Cycle Inspection / Initial Inspection
40360076,CARVEL ICE CREAM,BROOKLYN,203,CHURCH AVENUE                                     ,11218,7184389501,"Ice Cream, Gelato, Yogurt, Ices",1/22/2015,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,9,A,1/22/2015,10/1/2015,Cycle Inspection / Initial Inspection
40361521,GLORIOUS FOOD,MANHATTAN,522,EAST   74 STREET                                  ,10021,2127372140,American ,2/2/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10,A,2/2/2015,10/1/2015,Cycle Inspection / Initial Inspection
40361606,THE MOVABLE FEAST,BROOKLYN,284,PROSPECT PARK WEST                                ,11215,7189652900,American ,11/19/2014,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11,A,11/19/2014,10/1/2015,Cycle Inspection / Initial Inspection
40361618,SAL'S DELI,QUEENS,12908,20 AVENUE,11356,7186619498,Delicatessen,8/12/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,6,A,8/12/2015,10/1/2015,Cycle Inspection / Re-inspection
40361708,BULLY'S DELI,MANHATTAN,759,BROADWAY,10003,2122549755,Delicatessen,8/19/2015,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,26,Z,8/19/2015,10/1/2015,Cycle Inspection / Re-inspection
40361998,STEVE CHU'S DELI & GROCERY,QUEENS,3406,10 STREET,11106,7187268888,Delicatessen,3/4/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,3/4/2015,10/1/2015,Cycle Inspection / Initial Inspection
40362098,HARRIET'S KITCHEN,MANHATTAN,502,AMSTERDAM AVENUE                                  ,10024,2127210045,Chicken,9/15/2014,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,10,A,9/15/2014,10/1/2015,Cycle Inspection / Initial Inspection
40362264,P & S DELI GROCERY,MANHATTAN,730,COLUMBUS AVENUE                                   ,10025,2129323030,American ,3/19/2015,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,13,A,3/19/2015,10/1/2015,Cycle Inspection / Initial Inspection
40362274,ANGELIKA FILM CENTER,MANHATTAN,18,WEST HOUSTON STREET,10012,2129952570,American ,8/11/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,11,A,8/11/2015,10/1/2015,Cycle Inspection / Initial Inspection
40362432,HO MEI RESTAURANT,QUEENS,10305,37 AVENUE,11368,7187796903,Chinese,3/31/2015,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,A,3/31/2015,10/1/2015,Cycle Inspection / Initial Inspection
40362715,THE COUNTRY CAFE,MANHATTAN,60,WALL STREET,10005,3474279132,Turkish,8/21/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,8/21/2015,10/1/2015,Cycle Inspection / Re-inspection
40362869,SHASHEMENE INT'L RESTAURA,BROOKLYN,195,EAST   56 STREET                                  ,11203,3474300871,Caribbean,6/15/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,6/15/2015,10/1/2015,Cycle Inspection / Re-inspection
40363093,CARVEL ICE CREAM,BRONX,1006,EAST  233 STREET                                  ,10466,7186526827,"Ice Cream, Gelato, Yogurt, Ices",4/13/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,9,A,4/13/2015,10/1/2015,Cycle Inspection / Initial Inspection
40363098,DUNKIN' DONUTS,BROOKLYN,56,COURT STREET                                      ,11201,7186252068,Donuts,12/30/2014,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,8,A,12/30/2014,10/1/2015,Cycle Inspection / Initial Inspection
40363151,OLIVE'S,MANHATTAN,120,PRINCE STREET                                     ,10012,2129410111,Sandwiches/Salads/Mixed Buffet,8/14/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,5,A,8/14/2015,10/1/2015,Cycle Inspection / Re-inspection
40363289,HAPPY GARDEN,BRONX,1236,238 SPOFFORD AVE,10474,7186171818,Chinese,7/9/2015,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,19,Z,7/9/2015,10/1/2015,Cycle Inspection / Re-inspection
40363298,CAFE METRO,MANHATTAN,625,8 AVENUE,10018,2127149342,American ,5/18/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,12,A,5/18/2015,10/1/2015,Cycle Inspection / Initial Inspection
40363333,TONY'S DELI,QUEENS,1069,WYCKOFF AVENUE                                                                                      ,11385,7183867925,Delicatessen,5/13/2015,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11,A,5/13/2015,10/1/2015,Cycle Inspection / Initial Inspection
40363426,LEXLER DELI,MANHATTAN,405,LEXINGTON AVENUE                                  ,10174,2126870820,Sandwiches/Salads/Mixed Buffet,2/9/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,12,A,2/9/2015,10/1/2015,Cycle Inspection / Initial Inspection
